Type,Percent
CIN1 - HR,35.56701030927835
CIN1 - 16/18,24.0979381443299
,0.0
CIN23 - HR,49.097938144329895
CIN23 - 16,44.45876288659794
CIN23 - 18,6.314432989690721
,0.0
Cancer - HR,61.5979381443299
Cancer 16/18,18.943298969072163
