Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_0789,0.5816250212257646,0.7723542412968073,False,False
scenario_0954,0.36767571640974145,0.5710985181640927,False,False
scenario_0351,0.22943020088775753,0.29422936080789663,False,False
scenario_0166,0.31592499719133016,0.39971838609292903,False,False
scenario_1348,0.3899562700139263,0.48178246750289583,False,True
scenario_0330,0.7123489182605898,1.1557700609237842,False,False
scenario_0334,0.43192334130963367,0.7440621575394043,False,False
scenario_1632,0.33507738376236473,0.5790530740488669,False,False
scenario_1808,0.3967791078935938,0.5648413327127951,False,False
scenario_0801,0.6129458193630982,1.1141930437531435,False,False
scenario_0522,0.3531119931599695,0.37962018899568073,False,True
scenario_0165,0.6646992874265449,0.7118907744138542,False,False
scenario_1245,0.45602403100516903,0.45866496806833434,False,False
scenario_1945,0.5132046663968516,0.897108000787438,False,False
scenario_0322,0.46937397154670996,0.588048318629354,False,False
scenario_1158,0.3710464318404279,0.4276060840749694,False,True
scenario_0227,0.461940592262966,0.6654975312155367,False,True
scenario_1760,0.5381217252708783,0.7260639249923417,False,False
scenario_0318,0.436585380927267,0.5671879511823505,False,False
scenario_0185,0.3631255127815829,0.48745218407771496,False,True
scenario_1280,0.67439752314046,1.193062578403872,False,False
scenario_1906,0.2557208105338653,0.24161885443932152,False,False
scenario_0409,0.41379399264006983,0.6085549181628414,False,False
scenario_0396,0.2581495296260321,0.24253663897907018,False,True
scenario_0890,0.2544966688509792,0.26452332960090713,False,False
scenario_1876,0.46413082965495456,0.6673609082372911,False,True
scenario_1409,0.3652806573197187,0.4268036046683252,False,False
scenario_1987,0.269841720920045,0.2673674273905941,False,False
scenario_1386,0.627517208679472,1.0283218635620741,False,False
scenario_1401,0.39286914648426996,0.5965948753156312,False,False
scenario_1152,0.3445269007759877,0.5825397220035462,False,False
scenario_0973,0.4356505210531123,0.6624510402975138,False,True
scenario_1385,0.5609770407372402,0.9101699164906973,False,False
scenario_0491,0.43272338928229037,0.35425603137369976,False,True
scenario_1035,0.44954740803581267,0.5978839386976269,False,False
scenario_1294,0.40696226478966413,0.36377700222338216,False,True
scenario_0162,0.9003783956467805,1.6361874086268613,False,False
scenario_0927,0.4127402406329921,0.509873968265238,False,False
scenario_1668,0.4778169367593301,0.8585682819480641,False,False
scenario_0893,0.34752112479513686,0.35066773768531256,False,False
scenario_0011,0.45677801287600156,0.5222003187533766,False,False
scenario_1332,0.19923185333928187,0.23389076120089705,False,False
scenario_0111,0.4470157706473143,0.34696845584555214,False,False
scenario_0044,0.3059457339613969,0.48152717294988623,False,True
scenario_1196,0.9159966968489793,1.4235490322156577,False,True
scenario_0150,0.48880544797758574,0.6598397755238263,False,False
scenario_0599,0.26085360490839776,0.4036851147138875,False,False
scenario_0573,0.6420325914947288,0.9885802021818199,False,False
scenario_0694,0.5255727975727881,0.720454944590646,False,False
scenario_0961,0.3025010977088508,0.3608828271881387,False,False
scenario_0118,1.0121436251359583,1.5462580018894392,False,False
scenario_1754,0.590947738350746,1.088858161795331,False,False
scenario_0521,0.42549451136248095,0.3274652087605543,False,False
scenario_1437,0.38897542245133715,0.47536877722695464,False,True
scenario_1501,0.5626458071172371,0.967319550385506,False,False
scenario_1311,0.42124646678016514,0.37834711099208007,False,False
scenario_0943,0.3621674304253657,0.5369014387048346,False,False
scenario_0392,1.1553838535796546,1.784755362766822,False,False
scenario_0270,0.3789567183228114,0.24457883814832473,False,True
scenario_0207,0.5962878186809465,1.003276866596878,False,True
scenario_0878,0.4251435314893748,0.856833375998181,False,True
scenario_0934,0.656305755681744,0.9655108416111526,False,True
scenario_1713,0.47490443856151715,0.5088508739223035,False,True
scenario_1629,0.5880069824360986,0.7935859491901125,False,True
scenario_1721,0.4434259908494558,0.44440874970587824,False,False
scenario_0552,0.4913259438325644,0.7636485586160334,False,True
scenario_1524,0.29667629293679937,0.3881017212390982,False,False
scenario_0490,0.745381525218259,1.1681707721938013,False,False
scenario_1449,0.40257513364002023,0.3426233242330357,False,True
scenario_0624,0.336263765422142,0.35123403689992977,False,False
scenario_0948,0.27243260126522756,0.3695173026969885,False,False
scenario_0243,0.11057105086129948,0.18444574676289013,False,True
scenario_0151,0.6748551432565257,1.3642440666009,False,True
scenario_1430,0.473839474245145,0.5094582230790442,False,False
scenario_1207,0.32883990271609065,0.4155672734526784,False,True
scenario_0926,0.46733733234904734,0.7141436051250798,False,False
scenario_0077,0.6229889197579158,0.8808276041807058,False,True
scenario_1087,0.42205681209357904,0.7036215859911734,False,True
scenario_1145,0.363873596046009,0.5093265055103384,False,True
scenario_0390,0.36845280841625205,0.6160111691865002,False,False
scenario_1125,0.4022181785274077,0.39462735438956364,False,False
scenario_0180,0.6609467280635573,1.1728539038448471,False,False
scenario_1700,0.4978331860806957,0.8577799737360848,False,False
