Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_1994,1.0591679825906406,1.196596865479123,False,True
scenario_1924,0.8271765204096998,1.005467448258687,False,False
scenario_1394,0.5495743582148122,0.584891961158406,False,True
scenario_1439,0.6575635178885445,0.851915955169184,False,True
scenario_1572,0.4887783743572423,0.5183037632503201,False,True
scenario_1802,0.15856418003224906,0.1625805889076671,True,True
scenario_0790,0.5982066930388302,0.6120851619226748,False,True
scenario_0568,0.5065306383290771,0.555011547218432,False,False
scenario_0002,0.2842254410643093,0.35389530582973033,False,True
scenario_0723,0.625915219628088,0.6390286485477318,False,True
scenario_0335,0.7296874474467445,0.8398131464544091,False,True
scenario_0619,1.3813647054879805,1.8582423144009594,False,True
scenario_0349,0.7179381341774084,0.7969052739715775,False,False
scenario_0042,0.31739596478343685,0.4621626963979512,False,True
scenario_0675,0.5525850559558194,0.5575044970186498,False,False
scenario_0696,0.5968641968015822,0.7040143954626641,False,True
scenario_1891,0.343008970212019,0.29524392722529413,False,False
scenario_1247,0.6389150933318631,0.7826035546517385,False,True
scenario_0965,0.6668971854974381,0.6932368880952458,False,False
scenario_1752,0.5036864354125764,0.47716335072971083,False,False
scenario_1667,0.6831926657352186,0.8381168912792087,False,False
scenario_1971,0.3286859880628287,0.2724414185221933,False,True
scenario_1345,0.38970800477583395,0.33918239738856937,False,True
scenario_1038,0.8001418533800051,0.9127178699909939,False,False
scenario_1807,0.5671515068619755,0.48762815626345735,False,False
scenario_0804,0.2723638175920466,0.27679373158880216,False,True
scenario_0319,0.8928140705878176,1.2175495916598529,False,False
scenario_0001,0.3860046294175433,0.37490961095008846,True,False
scenario_0082,1.8370990753083905,1.7154605767886586,False,False
scenario_1709,0.49065300379275817,0.6201419184884759,False,False
scenario_0494,0.8131984573756275,1.0986523433873063,False,False
scenario_1324,0.5896994512914332,0.8372961679067393,False,True
scenario_1800,0.4787866890273573,0.47255794034971277,False,True
scenario_1459,0.21857217972806686,0.26127033281587425,False,True
scenario_0442,0.7940833979032245,0.9169918187948956,False,False
